Source;Symbol;ChangePerc;ClosePrice;OpenPrice;ChangeInDollars;Volume;HighPrice;LowPrice;PreviousClose;YearHigh;YearLow;NShares;PE;MarketCap;Yield;DividendYield;EPS
bloomberg;sial;1.172%;74.240;73.540;860;674,663;74.265;73.070;;74.26;48.80;121.827mil;21.771;9,044.402mil;917;0.180 regular cash;3.410
google-finance;sial;(1.17%);74.24;73.54;+0.86;673,614.00;74.26;73.07;;74.26;48.80;121.80m;22.66;9.04b;0.97;0.18;3.28
msn-money;sial;+1.17%;74.24;73.54;+0.86;673,614;74.27;73.07;73.38;73.60;48.80;121.83 mil;22.63;8.94 bil;0.98%;0.72;3.28
nasdaq-com;sial;1.17%;$ 74.24;$ 73.54;0.86;673,614;$ 74.265;$ 73.07;$ 73.38;$ 73.60;$ 48.80;121,827,000;22.63;$ 9,044,436,480;0.98 %;$0.720000;$ 3.28
yahoo-finance;sial;1.17%;74.24;73.54;0.86;673,614;74.26;73.07;73.38;74.26;48.80;;22.63;9.04b;1.00%;0.72;3.28
bloomberg;bmc;1.993%;55.790;54.840;1.090;2,300,895;56.100;54.800;;56.16;34.24;176.858mil;25.018;9,866.908mil;;;2.230
google-finance;bmc;(1.99%);55.79;54.84;+1.09;2.30m;56.10;54.80;;56.16;34.24;175.93m;22.31;9.82b;;;2.50
msn-money;bmc;+1.99%;55.79;54.84;+1.09;2.3 mil;56.10;54.80;54.70;56.16;34.24;175.93 mil;16.80;9.62 bil;;;2.50
nasdaq-com;bmc;1.99%;$ 55.79;$ 54.84;1.09;2,300,895;$ 56.10;$ 54.80;$ 54.70;$ 56.16;$ 34.24;176,858,000;22.59;$ 9,866,907,820;;;$ 2.47
yahoo-finance;bmc;1.99%;55.79;54.94;1.09;2,300,795;56.03;54.80;54.70;56.16;34.24;;22.32;9.87b;;;2.50
bloomberg;qcom;1.919%;57.880;56.790;1.090;11,968,775;57.980;56.440;;59.84;31.63;1,669.532mil;21.437;96,632.520mil;1.356;0.215 regular cash;2.700
google-finance;qcom;(1.92%);57.88;56.79;+1.09;12.03m;57.98;56.44;;59.84;31.63;1.67b;25.14;96.63b;1.49;0.22;2.30
msn-money;qcom;+1.92%;57.88;56.79;+1.09;12.03 mil;57.98;56.44;56.79;59.84;31.63;1.67 bil;25.17;94.81 bil;1.51%;0.86;2.30
nasdaq-com;qcom;1.92%;$ 57.88;$ 56.79;1.09;12,028,798;$ 57.98;$ 56.44;$ 56.79;$ 59.84;$ 31.63;1,669,532,000;25.17;$ 96,632,512,160;1.51 %;$0.860000;$ 2.30
yahoo-finance;qcom;1.92%;57.88;56.78;1.09;12,028,798;57.98;56.44;56.79;59.84;31.63;;25.12;96.63b;1.60%;0.86;2.30
bloomberg;nvda;1.318%;16.145;15.940;210;13,036,144;16.210;15.620;;26.17;8.65;600.288mil;25.627;9,691.656mil;;;630
google-finance;nvda;(1.32%);16.15;15.94;+0.21;13.40m;16.21;15.62;;26.17;8.65;600.29m;39.83;9.69b;;;0.41
msn-money;nvda;+1.32%;16.15;15.94;+0.21;13.4 mil;16.21;15.62;15.94;26.17;8.65;600.29 mil;38.44;9.57 bil;;;0.41
nasdaq-com;nvda;1.32%;$ 16.145;$ 15.94;0.21;13,396,378;$ 16.21;$ 15.62;$ 15.935;$ 26.17;$ 8.65;600,288,000;40.36;$ 9,691,649,760;;;$ 0.40
yahoo-finance;nvda;1.32%;16.15;16.00;0.21;13,396,278;16.21;15.62;15.94;26.17;8.65;;38.08;9.69b;;;0.42
bloomberg;ctxs;975%;80.780;80.310;780;1,659,407;81.320;79.970;;88.49;41.62;187.995mil;50.174;15,186.270mil;;;1.610
google-finance;ctxs;(0.97%);80.78;80.31;+0.78;1.66m;81.32;79.97;;88.49;41.62;188.00m;50.90;15.19b;;;1.59
msn-money;ctxs;+0.97%;80.78;80.31;+0.78;1.66 mil;81.32;79.97;80.00;88.49;41.62;188.00 mil;50.81;15.04 bil;;;1.59
nasdaq-com;ctxs;0.98%;$ 80.78;$ 80.31;0.78;1,659,407;$ 81.32;$ 79.97;$ 80;$ 88.4895;$ 41.62;187,995,000;51.13;$ 15,186,236,100;;;$ 1.58
yahoo-finance;ctxs;0.97%;80.78;80.31;0.78;1,659,407;81.32;79.97;80.00;88.49;41.62;;50.84;15.19b;;;1.59
bloomberg;srcl;2.356%;91.220;89.560;2.100;516,502;91.250;89.360;;95.71;61.02;85.849mil;34.817;7,831.145mil;;;2.620
google-finance;srcl;(2.36%);91.22;89.56;+2.10;516,044.00;91.25;89.36;;95.71;61.02;85.85m;36.91;7.83b;;;2.47
msn-money;srcl;+2.36%;91.22;89.56;+2.10;516,044;91.25;89.36;89.12;95.71;61.02;85.85 mil;36.93;7.65 bil;;;2.47
nasdaq-com;srcl;2.36%;$ 91.22;$ 89.56;2.10;516,044;$ 91.25;$ 89.36;$ 89.12;$ 95.71;$ 61.02;85,849,000;36.93;$ 7,831,145,780;;;$ 2.47
yahoo-finance;srcl;2.36%;91.22;89.56;2.10;516,044;91.25;89.36;89.12;95.71;61.02;;36.93;7.83b;;;2.47
bloomberg;esrx;-37%;53.960;54.080;-20;6,187,177;54.350;53.780;;60.89;41.55;529.454mil;22.206;28,569.340mil;;;2.430
google-finance;esrx;(-0.04%);53.96;54.08;-0.02;6.19m;54.35;53.78;;60.89;41.55;529.12m;22.86;28.55b;;;2.36
msn-money;esrx;-0.04%;53.96;54.08;-0.02;6.19 mil;54.35;53.78;53.98;60.89;41.55;529.45 mil;23.26;28.58 bil;;;2.32
nasdaq-com;esrx;0.04%;$ 53.96;$ 54.08;0.02;6,187,177;$ 54.35;$ 53.78;$ 53.98;$ 60.89;$ 41.55;529,454,000;23.26;$ 28,569,337,840;;;$ 2.32
yahoo-finance;esrx;0.04%;53.96;53.99;0.02;6,181,089;54.35;53.78;53.98;60.89;41.55;;23.37;28.57b;;;2.31
bloomberg;csco;1.602%;15.860;15.630;250;56,477,627;15.950;15.600;;26.00;14.78;5,500.185mil;11.947;87,507.940mil;378;0.060 regular cash;1.330
google-finance;csco;(1.60%);15.86;15.63;+0.25;56.48m;15.95;15.60;;26.00;14.78;5.50b;12.46;87.23b;1.51;0.06;1.27
msn-money;csco;+1.60%;15.86;15.63;+0.25;56.48 mil;15.95;15.60;15.61;26.00;14.78;5.50 bil;12.39;85.86 bil;1.54%;0.24;1.27
nasdaq-com;csco;1.6%;$ 15.86;$ 15.65;0.25;56,482,911;$ 15.95;$ 15.60;$ 15.61;$ 26;$ 14.78;5,500,185,000;12.49;$ 87,232,934,100;;;$ 1.27
yahoo-finance;csco;1.60%;15.86;15.61;0.25;56,480,911;15.95;15.60;15.61;26.00;14.78;;12.38;87.23b;1.60%;0.24;1.28
bloomberg;fast;1.834%;36.650;36.040;660;2,930,250;36.710;36.000;;36.71;22.14;294.861mil;37.398;10,806.670mil;2.183;0.130 regular cash;980
google-finance;fast;(1.83%);36.65;36.04;+0.66;2.93m;36.71;36.00;;36.71;22.32;294.86m;37.45;10.81b;1.42;0.13;0.98
msn-money;fast;+1.83%;36.65;36.04;+0.66;2.93 mil;36.71;36.00;35.99;36.42;22.32;294.86 mil;37.40;10.61 bil;1.44%;0.52;0.98
nasdaq-com;fast;1.83%;$ 36.65;$ 36.04;0.66;2,930,250;$ 36.71;$ 36;$ 35.99;$ 36.42;$ 22.32;294,861,000;35.58;$ 10,806,655,650;;;$ 1.03
yahoo-finance;fast;1.83%;36.65;36.09;0.66;2,928,650;36.71;36.00;35.99;36.71;22.32;;37.40;10.81b;1.40%;0.52;0.98
bloomberg;mchp;1.161%;38.350;37.980;440;1,385,332;38.490;37.760;;41.50;27.19;190.480mil;17.511;7,304.895mil;3.593;0.346 regular cash;2.190
google-finance;mchp;(1.16%);38.35;37.98;+0.44;1.38m;38.49;37.76;;41.50;27.19;190.48m;17.44;7.30b;3.61;0.35;2.20
msn-money;mchp;+1.16%;38.35;37.98;+0.44;1.38 mil;38.49;37.76;37.91;41.50;27.19;190.48 mil;17.43;7.22 bil;3.65%;1.38;2.15
nasdaq-com;mchp;1.16%;$ 38.35;$ 37.98;0.44;1,383,356;$ 38.49;$ 37.76;$ 37.91;$ 41.50;$ 27.19;190,480,000;17.92;$ 7,304,908,000;3.65 %;$1.384000;$ 2.14
yahoo-finance;mchp;1.16%;38.35;37.98;0.44;1,383,356;38.49;37.76;37.91;41.50;27.19;;17.85;7.30b;3.70%;1.38;2.15
bloomberg;vmed;1.036%;30.240;30.240;310;4,867,903;30.500;30.030;;33.32;16.24;313.459mil;78.402;9,479.009mil;530;0.040 regular cash;240
google-finance;vmed;(1.04%);30.24;30.24;+0.31;4.87m;30.50;30.03;;33.32;16.24;317.27m;104,275.86;9.59b;0.53;0.04;0.00
msn-money;vmed;+1.04%;30.24;30.24;+0.31;4.87 mil;30.50;30.03;29.93;33.32;16.24;317.27 mil;-9.48;9.5 bil;0.53%;0.16;0.12
nasdaq-com;vmed;1.04%;$ 30.24;$ 30.24;0.31;4,867,103;$ 30.50;$ 30.03;$ 29.93;$ 33.32;$ 16.24;317,268,000;232.62;$ 9,594,184,320;0.53 %;$0.160000;$ 0.13
yahoo-finance;vmed;1.04%;30.24;30.24;0.31;4,867,103;30.50;30.03;29.93;33.32;16.24;;272.43;9.59b;0.50%;0.16;0.11
bloomberg;ntap;2.918%;54.320;53.510;1.540;8,702,113;54.570;53.070;;61.02;36.66;371.113mil;33.325;20,158.830mil;;;1.630
google-finance;ntap;(2.92%);54.32;53.51;+1.54;8.70m;54.57;53.07;;61.02;36.66;371.11m;31.82;20.16b;;;1.71
msn-money;ntap;+2.92%;54.32;53.51;+1.54;8.7 mil;54.57;53.07;52.78;61.02;36.66;371.11 mil;31.77;19.59 bil;;;1.71
nasdaq-com;ntap;2.92%;$ 54.32;$ 53.51;1.54;8,699,525;$ 54.57;$ 53.07;$ 52.78;$ 61.02;$ 36.66;367,872,000;33.53;$ 19,982,807,040;;;$ 1.62
yahoo-finance;ntap;2.92%;54.32;53.51;1.54;8,699,125;54.57;53.07;52.78;61.02;36.66;;31.77;20.16b;;;1.71
bloomberg;ctrp;2.252%;44.050;43.240;970;1,345,909;44.170;42.680;;53.16;31.35;136.221mil;40.599;6,000.540mil;;0.112 regular cash;1.085
google-finance;ctrp;(2.25%);44.05;43.24;+0.97;1.35m;44.17;42.68;;53.16;31.35;574.16m;39.67;25.29b;;;1.11
msn-money;ctrp;+2.25%;44.05;43.24;+0.97;1.35 mil;44.17;42.68;43.08;53.16;31.35;143.54 mil;39.68;6.18 bil;;;1.11
nasdaq-com;ctrp;2.25%;$ 44.05;$ 43.24;0.97;1,345,909;$ 44.17;$ 42.68;$ 43.08;$ 53.16;$ 31.35;143,564,000;40.79;$ 6,323,994,200;;;$ 1.08
yahoo-finance;ctrp;2.25%;44.05;43.16;0.97;1,345,909;44.17;42.68;43.08;53.16;31.35;;39.58;6.32b;;;1.11
bloomberg;rost;1.435%;81.270;80.370;1.150;818,009;81.350;79.770;;83.11;48.71;116.956mil;16.451;9,505.039mil;935;0.220 regular cash;4.940
google-finance;rost;(1.44%);81.27;80.37;+1.15;816,385.00;81.35;79.77;;83.11;48.71;116.96m;16.43;9.51b;1.08;0.22;4.95
msn-money;rost;+1.44%;81.27;80.37;+1.15;816,385;81.35;79.77;80.12;83.11;48.71;116.96 mil;16.42;9.37 bil;1.10%;0.88;4.95
nasdaq-com;rost;1.44%;$ 81.27;$ 80.37;1.15;816,385;$ 81.35;$ 79.77;$ 80.12;$ 83.11;$ 48.71;117,510,000;16.45;$ 9,550,037,700;1.1 %;$0.880000;$ 4.94
yahoo-finance;rost;1.44%;81.27;80.37;1.15;816,385;81.35;79.77;80.12;83.11;48.71;;16.43;9.51b;1.10%;0.88;4.95
bloomberg;payx;1.074%;31.050;30.600;330;2,072,296;31.090;30.600;;33.91;24.65;361.850mil;21.866;11,235.430mil;4.000;0.310 regular cash;1.420
google-finance;payx;(1.07%);31.05;30.60;+0.33;2.07m;31.09;30.60;;33.91;24.65;361.85m;21.84;11.24b;3.99;0.31;1.42
msn-money;payx;+1.07%;31.05;30.60;+0.33;2.07 mil;31.09;30.60;30.72;33.91;24.65;361.85 mil;21.87;11.12 bil;4.04%;1.24;1.42
nasdaq-com;payx;1.07%;$ 31.05;$ 30.60;0.33;2,070,249;$ 31.09;$ 30.60;$ 30.72;$ 33.91;$ 24.6519;361,850,000;21.87;$ 11,235,442,500;4.04 %;$1.240000;$ 1.42
yahoo-finance;payx;1.07%;31.05;30.62;0.33;2,070,249;31.09;30.60;30.72;33.91;24.65;;21.87;11.24b;4.10%;1.24;1.42
bloomberg;qgen;263%;19.070;19.140;50;1,700,468;19.180;19.010;;22.20;16.86;233.683mil;28.044;4,456.343mil;;;680
google-finance;qgen;(0.26%);19.07;19.14;+0.05;1.70m;19.18;19.01;;22.20;16.86;232.83m;32.87;4.44b;;;0.58
msn-money;qgen;+0.26%;19.07;19.14;+0.05;1.7 mil;19.18;19.01;19.02;22.20;16.86;232.83 mil;31.26;4.43 bil;;;0.58
nasdaq-com;qgen;0.26%;$ 19.07;$ 19.14;0.05;1,699,768;$ 19.18;$ 19.01;$ 19.02;$ 22.20;$ 16.86;233,163,000;32.88;$ 4,446,418,410;;;$ 0.58
yahoo-finance;qgen;0.26%;19.07;19.17;0.05;1,699,637;19.18;19.01;19.02;22.20;16.86;;32.88;4.46b;;;0.58
bloomberg;grmn;1.665%;33.580;33.120;550;1,253,341;33.720;33.050;;36.42;26.11;208.077mil;11.950;6,987.240mil;2.384;0.400 regular cash;2.810
google-finance;grmn;(1.67%);33.58;33.12;+0.55;1.25m;33.72;33.05;;36.42;26.11;194.01m;10.39;6.52b;4.76;0.40;3.23
msn-money;grmn;+1.67%;33.58;33.12;+0.55;1.25 mil;33.72;33.05;33.03;36.42;26.11;194.02 mil;10.33;6.41 bil;4.84%;1.60;3.23
nasdaq-com;grmn;1.67%;$ 33.58;$ 33.12;0.55;1,253,241;$ 33.72;$ 33.05;$ 33.03;$ 36.42;$ 26.11;208,077,000;10.27;$ 6,987,225,660;4.54 %;$1.501000;$ 3.27
yahoo-finance;grmn;1.67%;33.58;33.20;0.55;1,253,141;33.72;33.05;33.03;36.42;26.11;;10.28;6.51b;6.00%;1.91;3.27
bloomberg;nflx;2.018%;267.990;262.060;5.300;3,983,786;268.260;262.060;;277.70;95.33;52.519mil;77.009;14,074.610mil;;;3.480
google-finance;nflx;(2.02%);267.99;262.06;+5.30;3.98m;268.26;262.06;;277.70;95.33;52.89m;76.91;14.17b;;;3.48
msn-money;nflx;+2.02%;267.99;262.06;+5.30;3.98 mil;268.26;262.06;262.69;277.70;95.33;52.49 mil;77.01;13.79 bil;;;3.48
nasdaq-com;nflx;2.02%;$ 267.99;$ 262.06;5.30;3,983,324;$ 268.26;$ 262.06;$ 262.69;$ 277.70;$ 95.33;52,491,000;77.01;$ 14,067,063,090;;;$ 3.48
yahoo-finance;nflx;2.02%;267.99;262.06;5.30;3,983,324;268.26;262.06;262.69;277.70;95.33;;76.96;14.07b;;;3.48
bloomberg;sbux;1.773%;40.190;39.620;700;6,421,769;40.260;39.500;;40.26;22.50;749.600mil;27.527;30,126.420mil;1.293;0.130 regular cash;1.460
google-finance;sbux;(1.77%);40.19;39.62;+0.70;6.42m;40.26;39.50;;40.26;22.50;749.60m;28.13;30.13b;1.29;0.13;1.43
msn-money;sbux;+1.77%;40.19;39.62;+0.70;6.42 mil;40.26;39.50;39.49;39.79;22.50;749.60 mil;28.10;29.6 bil;1.32%;0.52;1.43
nasdaq-com;sbux;1.77%;$ 40.19;$ 39.62;0.70;6,416,272;$ 40.26;$ 39.50;$ 39.49;$ 39.79;$ 22.50;749,600,000;28.1;$ 30,126,424,000;1.32 %;$0.520000;$ 1.43
yahoo-finance;sbux;1.77%;40.19;39.62;0.70;6,414,572;40.26;39.50;39.49;40.26;22.50;;28.09;30.13b;1.30%;0.52;1.43
bloomberg;myl;1.216%;24.970;24.670;300;4,478,723;24.990;24.520;;25.46;16.55;439.251mil;20.808;10,968.110mil;;;1.200
google-finance;myl;(1.22%);24.97;24.67;+0.30;4.48m;24.99;24.52;;25.46;16.55;439.25m;34.21;10.97b;;;0.73
msn-money;myl;+1.22%;24.97;24.67;+0.30;4.48 mil;24.99;24.52;24.67;25.46;16.55;439.25 mil;35.17;10.84 bil;;;0.73
nasdaq-com;myl;1.22%;$ 24.97;$ 24.67;0.30;4,476,181;$ 24.99;$ 24.52;$ 24.67;$ 25.46;$ 16.55;439,251,000;34.21;$ 10,968,097,470;0.97 %;$0.240000;$ 0.73
yahoo-finance;myl;1.22%;24.97;24.67;0.30;4,473,881;24.99;24.52;24.67;25.46;16.55;;34.30;10.97b;;;0.73
bloomberg;fslr;597%;133.060;130.660;790;1,735,071;133.480;129.111;;175.45;111.40;86.161mil;18.532;11,464.540mil;;;7.180
google-finance;fslr;(0.60%);133.06;130.66;+0.79;1.74m;133.48;129.11;;175.45;111.40;86.16m;18.98;11.46b;;;7.01
msn-money;fslr;+0.60%;133.06;130.66;+0.79;1.74 mil;133.48;129.11;132.27;175.45;111.40;86.16 mil;18.98;11.4 bil;;;7.01
nasdaq-com;fslr;0.6%;$ 133.06;$ 130.66;0.79;1,735,871;$ 133.48;$ 129.1109;$ 132.27;$ 175.449;$ 111.40;86,161,000;18.98;$ 11,464,582,660;;;$ 7.01
yahoo-finance;fslr;0.60%;133.06;130.66;0.79;1,735,671;133.48;129.11;132.27;175.45;111.40;;18.99;11.46b;;;7.01
bloomberg;altr;2.546%;47.530;46.440;1.180;3,756,676;47.750;46.200;;49.59;24.20;322.224mil;17.790;15,305.620mil;504;0.060 regular cash;2.670
google-finance;altr;(2.55%);47.53;46.44;+1.18;3.76m;47.75;46.20;;49.59;24.20;322.22m;17.83;15.32b;0.50;0.06;2.67
msn-money;altr;+2.55%;47.53;46.44;+1.18;3.76 mil;47.75;46.20;46.35;49.59;24.20;322.22 mil;17.80;14.94 bil;0.52%;0.24;2.67
nasdaq-com;altr;2.55%;$ 47.53;$ 46.44;1.18;3,756,676;$ 47.75;$ 46.20;$ 46.35;$ 49.59;$ 24.20;322,224,000;17.8;$ 15,315,306,720;0.52 %;$0.240000;$ 2.67
yahoo-finance;altr;2.55%;47.53;46.38;1.18;3,755,876;47.75;46.20;46.35;49.59;24.20;;17.83;15.32b;0.50%;0.24;2.67
bloomberg;intc;1.670%;22.530;22.210;370;35,364,980;22.580;22.100;;23.96;17.60;5,302.000mil;10.339;119,351.700mil;3.003;0.210 regular cash;2.180
google-finance;intc;(1.67%);22.53;22.21;+0.37;35.36m;22.58;22.10;;23.96;17.60;5.30b;10.50;119.45b;3.73;0.21;2.15
msn-money;intc;+1.67%;22.53;22.21;+0.37;35.36 mil;22.58;22.10;22.16;23.96;17.60;5.30 bil;10.53;117.49 bil;3.79%;0.84;2.15
nasdaq-com;intc;1.67%;$ 22.53;$ 22.25;0.37;35,364,863;$ 22.58;$ 22.10;$ 22.16;$ 23.96;$ 17.60;5,302,000,000;10.33;$ 119,454,060,000;3.27 %;$0.724800;$ 2.18
yahoo-finance;intc;1.67%;22.53;22.24;0.37;35,351,601;22.58;22.10;22.16;23.96;17.60;;10.53;119.45b;3.40%;0.72;2.14
bloomberg;msft;77%;26.020;25.930;20;49,654,988;26.170;25.840;;29.46;22.73;8,432.767mil;10.577;219,420.600mil;2.339;0.160 regular cash;2.460
google-finance;msft;(0.08%);26.02;25.93;+0.02;49.59m;26.17;25.84;;29.46;22.73;8.43b;10.31;219.42b;2.46;0.16;2.52
msn-money;msft;+0.08%;26.02;25.93;+0.02;49.59 mil;26.17;25.84;26.00;29.46;22.73;8.43 bil;10.33;219.25 bil;2.46%;0.64;2.52
nasdaq-com;msft;0.08%;$ 26.02;$ 25.95;0.02;49,590,671;$ 26.17;$ 25.84;$ 26;$ 29.46;$ 22.73;8,432,767,000;10.37;$ 219,420,597,340;2.46 %;$0.640000;$ 2.51
yahoo-finance;msft;0.08%;26.02;25.95;0.02;49,583,793;26.17;25.84;26.00;29.46;22.73;;10.34;219.42b;2.50%;0.64;2.52
bloomberg;ctsh;1.991%;74.800;73.480;1.460;2,153,733;74.860;73.120;;83.48;48.98;304.250mil;29.333;22,757.890mil;;;2.550
google-finance;ctsh;(1.99%);74.80;73.48;+1.46;2.15m;74.86;73.12;;83.48;48.98;304.25m;29.39;22.76b;;;2.55
