Source;Symbol;ChangePerc;ClosePrice;OpenPrice;ChangeInDollars;Volume;HighPrice;LowPrice;PreviousClose;YearHigh;YearLow;NShares;PE;MarketCap;Yield;DividendYield;EPS
nasdaq-com;xlnx;1.6%;$ 37.055;$ 36.57;585;3,751,093;$ 37.23;$ 36.35;$ 36.47;$ 36.60;$ 23.96;265,625,000;15.44;$ 9,842,734,375;2.08 %;$0.760000;$ 2.40
yahoo-finance;xlnx;1.60%;37.06;36.57;0.58;3,748,478;37.23;36.35;36.47;37.23;23.96;;15.50;9.84b;2.10%;0.76;2.39
bloomberg;dtv;1.850%;51.760;51.110;940;3,683,628;51.840;50.780;;51.84;33.25;767.785mil;19.029;39,740.570mil;;;2.720
google-finance;dtv;(1.85%);51.76;51.11;+0.94;3.68m;51.84;50.78;;51.84;33.25;767.79m;18.90;39.74b;;;2.74
msn-money;dtv;+1.85%;51.76;51.11;+0.94;3.68 mil;51.84;50.78;50.82;51.23;33.25;767.79 mil;20.22;39.02 bil;;;2.74
nasdaq-com;dtv;1.85%;$ 51.76;$ 51.11;0.94;3,683,228;$ 51.84;$ 50.78;$ 50.82;$ 51.23;$ 33.25;767,785,000;20.22;$ 39,740,551,600;;;$ 2.56
yahoo-finance;dtv;1.85%;51.76;50.96;0.94;3,683,028;51.84;50.78;50.82;51.84;33.44;;19.00;39.74b;;;2.72
bloomberg;stx;1.238%;16.360;16.180;200;5,383,838;16.370;15.950;;18.35;9.84;430.085mil;10.555;7,036.193mil;1.107;0.180 regular cash;1.550
google-finance;stx;(1.24%);16.36;16.18;+0.20;5.38m;16.37;15.95;;18.35;9.84;430.09m;10.37;7.04b;4.40;0.18;1.58
msn-money;stx;+1.24%;16.36;16.18;+0.20;5.38 mil;16.37;15.95;16.16;18.35;9.84;430.09 mil;10.29;6.95 bil;4.46%;0.72;1.58
nasdaq-com;stx;1.24%;$ 16.36;$ 16.18;0.20;5,382,998;$ 16.37;$ 15.95;$ 16.16;$ 18.35;$ 9.84;430,085,000;10.29;$ 7,036,190,600;4.46 %;$0.720000;$ 1.59
yahoo-finance;stx;1.24%;16.36;16.06;0.20;5,378,898;16.37;15.95;16.16;18.35;9.84;;5.60;46.27m;2.30%;0.36;2.92
bloomberg;brcm;2.289%;34.410;33.820;770;6,380,973;34.700;33.590;;47.16;29.70;482.600mil;16.623;18,447.200mil;;0.090 return of capital;2.070
google-finance;brcm;(2.29%);34.41;33.82;+0.77;6.38m;34.70;33.59;;47.39;29.90;539.22m;17.36;18.55b;1.05;0.09;1.98
msn-money;brcm;+2.29%;34.41;33.82;+0.77;6.38 mil;34.70;33.59;33.64;47.39;29.90;536.00 mil;17.29;17.89 bil;1.07%;0.36;1.98
nasdaq-com;brcm;2.29%;$ 34.41;$ 33.82;0.77;6,380,973;$ 34.70;$ 33.59;$ 33.64;$ 47.39;$ 29.90;482,600,000;17.29;$ 16,606,266,000;1.07 %;$0.360000;$ 1.99
yahoo-finance;brcm;2.29%;34.41;33.80;0.77;6,379,725;34.70;33.60;33.64;47.39;29.90;;17.36;18.45b;1.10%;0.36;1.98
bloomberg;bbby;1.747%;59.390;58.480;1.020;2,185,264;59.525;58.400;;59.52;35.55;249.128mil;18.107;14,795.740mil;;;3.280
google-finance;bbby;(1.75%);59.39;58.48;+1.02;2.19m;59.53;58.40;;59.53;35.55;249.13m;18.11;14.80b;;;3.28
msn-money;bbby;+1.75%;59.39;58.48;+1.02;2.19 mil;59.53;58.40;58.37;58.62;35.55;249.13 mil;18.16;14.54 bil;;;3.28
nasdaq-com;bbby;1.75%;$ 59.39;$ 58.48;1.02;2,185,264;$ 59.525;$ 58.40;$ 58.37;$ 58.62;$ 35.55;249,128,000;18.11;$ 14,795,711,920;;;$ 3.28
yahoo-finance;bbby;1.75%;59.39;58.48;1.02;2,182,164;59.53;58.40;58.37;59.53;35.55;;18.11;14.58b;;;3.28
bloomberg;atvi;1.370%;11.840;11.710;160;3,429,156;11.880;11.640;;12.65;10.32;1,144.165mil;19.410;13,546.910mil;1.394;0.165 regular cash;610
google-finance;atvi;(1.37%);11.84;11.71;+0.16;3.43m;11.88;11.64;;12.65;10.32;1.14b;26.82;13.55b;1.39;0.17;0.44
msn-money;atvi;+1.37%;11.84;11.71;+0.16;3.43 mil;11.88;11.64;11.68;12.65;10.32;1.14 bil;26.31;13.36 bil;1.41%;0.17;0.44
nasdaq-com;atvi;1.37%;$ 11.84;$ 11.71;0.16;3,428,756;$ 11.88;$ 11.64;$ 11.68;$ 12.65;$ 10.32;1,144,165,000;27.53;$ 13,546,913,600;;;$ 0.43
yahoo-finance;atvi;1.37%;11.84;11.75;0.16;3,428,756;11.88;11.64;11.68;12.65;10.32;;27.41;13.55b;1.40%;0.17;0.43
bloomberg;yhoo;2.726%;15.450;15.080;410;15,329,183;15.500;15.020;;18.84;12.94;1,302.941mil;20.065;20,130.450mil;;;770
google-finance;yhoo;(2.73%);15.45;15.08;+0.41;15.33m;15.50;15.02;;18.84;12.94;1.30b;18.20;20.13b;;;0.85
msn-money;yhoo;+2.73%;15.45;15.08;+0.41;15.33 mil;15.50;15.02;15.04;18.84;12.94;1.30 bil;16.26;19.6 bil;;;0.85
nasdaq-com;yhoo;2.73%;$ 15.45;$ 15.07;0.41;15,327,483;$ 15.50;$ 15.02;$ 15.04;$ 18.84;$ 12.94;1,302,941,000;18.18;$ 20,130,438,450;;;$ 0.85
yahoo-finance;yhoo;2.73%;15.45;15.08;0.41;15,323,730;15.50;15.07;15.04;18.84;12.94;;18.16;20.13b;;;0.85
bloomberg;mrvl;2.337%;15.110;14.790;345;9,691,691;15.200;14.700;;22.01;13.17;611.318mil;11.898;9,237.011mil;;;1.270
google-finance;mrvl;(2.34%);15.11;14.79;+0.34;9.69m;15.20;14.70;;22.01;13.17;611.32m;12.03;9.24b;;;1.26
msn-money;mrvl;+2.34%;15.11;14.79;+0.34;9.69 mil;15.20;14.70;14.77;22.01;13.17;611.40 mil;11.99;9.03 bil;;;1.26
nasdaq-com;mrvl;2.34%;$ 15.11;$ 14.79;345;9,688,961;$ 15.20;$ 14.70;$ 14.765;$ 22.01;$ 13.17;611,318,000;11.99;$ 9,237,014,980;;;$ 1.26
yahoo-finance;mrvl;2.34%;15.11;14.76;0.34;9,688,961;15.20;14.70;14.77;22.01;13.17;;11.96;9.24b;;;1.26
bloomberg;amat;2.152%;13.290;13.010;280;11,620,332;13.310;12.880;;16.93;10.27;1,318.250mil;10.540;17,499.770mil;2.185;0.080 regular cash;1.260
google-finance;amat;(2.15%);13.29;13.01;+0.28;11.62m;13.31;12.88;;16.93;10.27;1.32b;11.20;17.52b;2.41;0.08;1.19
msn-money;amat;+2.15%;13.29;13.01;+0.28;11.62 mil;13.31;12.88;13.01;16.93;10.27;1.32 bil;11.17;17.15 bil;2.46%;0.32;1.19
nasdaq-com;amat;2.15%;$ 13.29;$ 13.01;0.28;11,620,332;$ 13.31;$ 12.88;$ 13.01;$ 16.93;$ 10.27;1,318,250,000;11.17;$ 17,519,542,500;2.46 %;$0.320000;$ 1.19
yahoo-finance;amat;2.15%;13.29;13.04;0.28;11,615,896;13.31;12.88;13.01;16.93;10.27;;11.18;17.52b;2.50%;0.32;1.19
bloomberg;akam;64%;31.490;31.370;20;5,003,397;31.650;30.980;;54.65;28.69;186.707mil;33.511;5,879.403mil;;;940
google-finance;akam;(0.06%);31.49;31.37;+0.02;5.00m;31.65;30.98;;54.65;28.69;186.71m;33.17;5.88b;;;0.95
msn-money;akam;+0.06%;31.49;31.37;+0.02;5 mil;31.65;30.98;31.47;54.65;28.69;186.71 mil;33.50;5.88 bil;;;0.95
nasdaq-com;akam;0.06%;$ 31.49;$ 31.37;0.02;5,000,537;$ 31.65;$ 30.98;$ 31.47;$ 54.65;$ 28.69;186,707,000;33.5;$ 5,879,403,430;;;$ 0.94
yahoo-finance;akam;0.06%;31.49;31.37;0.02;5,000,037;31.65;30.98;31.47;54.65;28.69;;33.32;5.88b;;;0.95
bloomberg;biib;1.478%;108.500;107.350;1.580;1,669,457;108.640;106.920;;109.63;46.15;241.632mil;22.460;26,212.260mil;;;4.830
google-finance;biib;(1.48%);108.50;107.35;+1.58;1.67m;108.64;106.92;;109.63;46.15;241.63m;24.92;26.22b;;;4.35
msn-money;biib;+1.48%;108.50;107.35;+1.58;1.67 mil;108.64;106.92;106.92;109.63;46.15;241.63 mil;25.00;25.84 bil;;;4.35
nasdaq-com;biib;1.48%;$ 108.50;$ 107.35;1.58;1,669,257;$ 108.64;$ 106.92;$ 106.92;$ 109.63;$ 46.15;241,632,000;24.89;$ 26,217,072,000;;;$ 4.36
yahoo-finance;biib;1.48%;108.50;107.13;1.58;1,669,157;108.64;106.92;106.92;109.63;46.15;;24.91;26.22b;;;4.36
bloomberg;urbn;2.735%;28.920;28.180;770;3,345,285;29.070;28.070;;39.26;27.96;159.690mil;18.902;4,618.249mil;;;1.530
google-finance;urbn;(2.74%);28.92;28.18;+0.77;3.34m;29.07;28.07;;39.26;27.96;159.69m;18.88;4.62b;;;1.53
msn-money;urbn;+2.74%;28.92;28.18;+0.77;3.34 mil;29.07;28.07;28.15;39.26;27.96;159.69 mil;19.03;4.5 bil;;;1.53
nasdaq-com;urbn;2.74%;$ 28.92;$ 28.18;0.77;3,343,521;$ 29.07;$ 28.07;$ 28.15;$ 39.26;$ 27.96;162,255,000;18.9;$ 4,692,414,600;;;$ 1.53
yahoo-finance;urbn;2.74%;28.92;28.18;0.77;3,343,021;29.07;28.07;28.15;39.26;27.96;;18.95;4.62b;;;1.53
bloomberg;teva;1.618%;49.000;48.470;780;4,006,925;49.060;48.300;;57.08;44.86;940.062mil;13.009;46,063.060mil;1.674;0.200 regular cash;3.767
google-finance;teva;(1.62%);49.00;48.47;+0.78;4.00m;49.06;48.30;;57.08;44.86;939.66m;13.16;46.04b;1.67;0.23;3.72
msn-money;teva;+1.62%;49.00;48.47;+0.78;4 mil;49.06;48.30;48.22;57.08;44.86;940.07 mil;10.79;45.01 bil;1.70%;0.82;3.72
nasdaq-com;teva;1.62%;$ 49;$ 48.47;0.78;4,004,825;$ 49.06;$ 48.30;$ 48.22;$ 57.08;$ 44.86;893,000,000;13.17;$ 43,757,000,000;1.91 %;$0.919196;$ 3.72
yahoo-finance;teva;1.62%;49.00;48.46;0.78;4,004,825;49.06;48.30;48.22;57.08;44.86;;13.17;43.76b;1.70%;0.80;3.72
bloomberg;orly;1.069%;66.210;65.610;700;1,653,811;66.520;65.550;;66.52;45.65;137.870mil;20.821;9,128.390mil;;;3.180
google-finance;orly;(1.07%);66.21;65.61;+0.70;1.64m;66.52;65.55;;66.52;45.65;137.87m;22.19;9.13b;;;2.98
msn-money;orly;+1.07%;66.21;65.61;+0.70;1.64 mil;66.52;65.55;65.51;65.63;45.65;137.87 mil;22.29;9.03 bil;;;2.98
nasdaq-com;orly;1.07%;$ 66.21;$ 65.61;0.70;1,642,876;$ 66.52;$ 65.55;$ 65.51;$ 65.63;$ 45.65;137,870,000;22.14;$ 9,128,372,700;;;$ 2.99
yahoo-finance;orly;1.07%;66.21;65.71;0.70;1,642,476;66.52;65.56;65.51;66.52;45.65;;22.30;9.13b;;;2.97
bloomberg;apol;6.364%;46.460;45.980;2.780;6,387,831;47.720;45.620;;53.61;33.75;137.281mil;9.488;6,583.124mil;;;4.900
google-finance;apol;(6.36%);46.46;45.98;+2.78;6.39m;47.72;45.62;;53.61;33.75;141.60m;17.70;6.58b;;;2.63
msn-money;apol;+6.36%;46.46;45.98;+2.78;6.39 mil;47.72;45.62;43.68;53.61;33.75;141.60 mil;17.34;6.19 bil;;;2.61
nasdaq-com;apol;6.36%;$ 46.46;$ 45.98;2.78;6,387,831;$ 47.72;$ 45.62;$ 43.68;$ 53.61;$ 33.75;141,128,000;15.75;$ 6,556,806,880;;;$ 2.95
yahoo-finance;apol;6.36%;46.46;45.77;2.78;6,385,231;47.70;45.62;43.68;53.61;33.75;;17.49;6.58b;;;2.66
bloomberg;linta;2.504%;17.190;16.780;420;3,342,206;17.240;16.700;;18.64;10.08;572.144mil;30.158;10,311.550mil;;;570
google-finance;linta;(2.50%);17.19;16.78;+0.42;3.34m;17.24;16.70;;18.65;10.07;601.16m;17.25;10.33b;;;1.00
msn-money;linta;+2.50%;17.19;16.78;+0.42;3.34 mil;17.24;16.70;16.77;18.65;10.08;734.73 mil;17.19;20.93 bil;;;1.00
nasdaq-com;linta;2.5%;$ 17.19;$ 16.78;0.42;3,342,206;$ 17.24;$ 16.70;$ 16.77;$ 18.645;$ 10.075;572,144,000;17.19;$ 9,835,155,360;;;$ 1
yahoo-finance;linta;2.50%;17.19;16.78;0.42;3,341,656;17.24;16.70;16.77;18.65;10.08;;17.07;10.33b;;;1.01
bloomberg;bidu;2.295%;143.346;139.440;3.216;7,198,371;143.350;138.900;;156.04;65.90;270.453mil;78.628;49,862.890mil;;;11.780
google-finance;bidu;(2.30%);143.35;139.44;+3.22;7.20m;143.35;138.90;;156.04;65.90;348.81m;78.65;50.00b;;;1.82
msn-money;bidu;+2.30%;143.35;139.44;+3.22;7.2 mil;143.35;138.90;140.13;156.04;65.90;348.81 mil;93.69;48.88 bil;;;1.82
nasdaq-com;bidu;2.3%;$ 143.346;$ 139.44;3.216;7,198,371;$ 143.35;$ 138.90;$ 140.13;$ 156.04;$ 65.90;270,768,000;80.99;$ 38,813,509,728;;;$ 1.77
yahoo-finance;bidu;2.30%;143.35;139.43;3.22;7,198,371;143.33;138.90;140.13;156.04;65.90;;78.68;50.00b;;;1.82
bloomberg;sndk;3.133%;42.800;41.555;1.300;5,728,346;42.920;41.510;;53.60;33.03;238.372mil;8.000;10,202.310mil;;;5.350
google-finance;sndk;(3.13%);42.80;41.56;+1.30;5.72m;42.92;41.51;;53.60;33.03;238.37m;8.00;10.20b;;;5.35
msn-money;sndk;+3.13%;42.80;41.56;+1.30;5.72 mil;42.92;41.51;41.50;53.61;33.03;238.37 mil;7.97;9.89 bil;;;5.35
nasdaq-com;sndk;3.13%;$ 42.80;$ 41.69;1.30;5,720,157;$ 42.92;$ 41.51;$ 41.50;$ 53.605;$ 33.03;238,372,000;8;$ 10,202,321,600;;;$ 5.35
yahoo-finance;sndk;3.13%;42.80;41.69;1.30;5,720,157;42.92;41.51;41.50;53.61;33.03;;7.98;10.20b;;;5.36
bloomberg;spls;759%;15.920;15.890;120;10,827,832;15.980;15.730;;23.75;14.75;713.154mil;12.438;11,353.410mil;2.387;0.100 regular cash;1.280
google-finance;spls;(0.76%);15.92;15.89;+0.12;10.82m;15.98;15.73;;23.75;14.75;713.15m;12.89;11.35b;2.51;0.10;1.24
msn-money;spls;+0.76%;15.92;15.89;+0.12;10.82 mil;15.98;15.73;15.80;23.75;14.75;713.15 mil;12.74;11.27 bil;2.53%;0.40;1.24
nasdaq-com;spls;0.76%;$ 15.92;$ 15.89;0.12;10,818,730;$ 15.98;$ 15.73;$ 15.80;$ 23.75;$ 14.75;713,154,000;12.84;$ 11,353,411,680;2.53 %;$0.400000;$ 1.24
yahoo-finance;spls;0.76%;15.92;15.84;0.12;10,818,730;15.98;15.73;15.80;23.75;14.75;;12.93;11.35b;2.60%;0.40;1.23
bloomberg;pcln;2.514%;524.798;513.390;12.868;1,056,772;525.240;510.000;;561.88;173.75;49.647mil;45.794;26,054.520mil;;;11.460
google-finance;pcln;(2.51%);524.80;513.39;+12.87;1.06m;525.24;510.00;;561.88;173.75;49.65m;46.12;26.05b;;;11.38
msn-money;pcln;+2.51%;524.80;513.39;+12.87;1.06 mil;525.24;510.00;511.93;561.88;173.75;49.65 mil;46.28;25.42 bil;;;11.38
nasdaq-com;pcln;2.51%;$ 524.798;$ 513.39;12.868;1,056,407;$ 525.24;$ 510;$ 511.93;$ 561.88;$ 173.75;49,647,000;46.12;$ 26,054,646,306;;;$ 11.38
yahoo-finance;pcln;2.51%;524.80;513.39;12.87;1,056,407;525.16;510.00;511.93;561.88;173.75;;46.31;26.05b;;;11.33
bloomberg;vod;674%;26.900;26.420;180;9,027,217;26.960;26.400;;32.70;20.71;5,110.882mil;;137,482.700mil;5.336;0.960 regular cash;
google-finance;vod;(0.67%);26.90;26.42;+0.18;8.99m;26.96;26.40;;32.70;20.71;5.13b;11.14;138.06b;5.34;0.98;2.41
msn-money;vod;+0.67%;26.90;26.42;+0.18;8.99 mil;26.96;26.40;26.72;32.70;20.71;5.11 bil;;135.74 bil;5.37%;1.44;2.41
nasdaq-com;vod;0.67%;$ 26.90;$ 26.42;0.18;8,993,917;$ 26.96;$ 26.40;$ 26.72;$ 32.70;$ 20.71;5,157,753,000;;$ 138,743,555,700;7.33 %;$1.959836;
yahoo-finance;vod;0.67%;26.90;26.41;0.18;8,993,917;26.96;26.40;26.72;29.75;20.71;;11.07;140.19b;7.20%;1.92;2.43
bloomberg;wcrx;829%;24.330;24.100;200;1,330,531;24.340;24.000;;25.92;15.19;253.873mil;29.671;6,176.724mil;34.965;8.500 special cash;820
google-finance;wcrx;(0.83%);24.33;24.10;+0.20;1.28m;24.34;24.00;;30.57;19.01;253.87m;37.63;6.18b;null;null;0.65
msn-money;wcrx;+0.83%;24.33;24.10;+0.20;1.28 mil;24.34;24.00;24.13;30.57;19.01;253.87 mil;38.02;6.13 bil;;;0.65
nasdaq-com;wcrx;0.83%;$ 24.33;$ 24.10;0.20;1,277,481;$ 24.34;$ 24;$ 24.13;$ 30.57;$ 19.01;253,873,000;37.43;$ 6,176,730,090;;;$ 0.65
yahoo-finance;wcrx;0.83%;24.33;24.12;0.20;1,277,481;24.34;24.00;24.13;30.57;19.01;;38.08;6.18b;;;0.64
bloomberg;expe;1.897%;29.540;28.960;550;2,252,136;29.630;28.890;;29.85;18.30;247.777mil;20.095;8,075.563mil;947;0.070 regular cash;1.470
google-finance;expe;(1.90%);29.54;28.96;+0.55;2.25m;29.63;28.89;;29.85;18.30;273.38m;20.35;8.08b;0.95;0.07;1.45
msn-money;expe;+1.90%;29.54;28.96;+0.55;2.25 mil;29.63;28.89;28.99;29.85;18.30;273.38 mil;20.37;7.93 bil;0.97%;0.28;1.45
nasdaq-com;expe;1.9%;$ 29.54;$ 28.96;0.55;2,251,336;$ 29.63;$ 28.89;$ 28.99;$ 29.85;$ 18.30;247,777,000;20.23;$ 7,319,332,580;0.97 %;$0.280000;$ 1.46
yahoo-finance;expe;1.90%;29.54;28.89;0.55;2,250,036;29.63;28.89;28.99;29.85;18.30;;20.23;8.08b;1.00%;0.28;1.46
bloomberg;expd;2.422%;52.430;51.210;1.240;1,128,328;52.490;51.190;;57.15;33.65;212.370mil;30.306;11,134.570mil;859;0.250 regular cash;1.730
google-finance;expd;(2.42%);52.43;51.21;+1.24;1.13m;52.49;51.19;;57.15;33.65;212.37m;30.31;11.13b;0.95;0.25;1.73
msn-money;expd;+2.42%;52.43;51.21;+1.24;1.13 mil;52.49;51.19;51.19;57.15;33.65;212.37 mil;30.31;10.87 bil;0.98%;0.50;1.73
nasdaq-com;expd;2.42%;$ 52.43;$ 51.21;1.24;1,128,328;$ 52.49;$ 51.19;$ 51.19;$ 57.15;$ 33.65;212,370,000;30.31;$ 11,134,559,100;0.98 %;$0.500000;$ 1.73
yahoo-finance;expd;2.42%;52.43;51.19;1.24;1,127,428;52.49;51.19;51.19;57.15;33.65;;30.31;11.13b;1.00%;0.50;1.73
bloomberg;ebay;1.456%;32.740;32.260;470;12,848,472;32.800;31.990;;35.35;19.06;1,297.899mil;22.985;42,493.210mil;;;1.424
google-finance;ebay;(1.46%);32.74;32.26;+0.47;12.85m;32.80;31.99;;35.35;19.06;1.30b;23.10;42.49b;;;1.42
msn-money;ebay;+1.46%;32.74;32.26;+0.47;12.85 mil;32.80;31.99;32.27;35.35;19.06;1.30 bil;23.06;41.88 bil;;;1.42
nasdaq-com;ebay;1.46%;$ 32.74;$ 32.22;0.47;12,847,872;$ 32.80;$ 31.99;$ 32.27;$ 35.35;$ 19.06;1,297,899,000;23.06;$ 42,493,213,260;;;$ 1.42
yahoo-finance;ebay;1.46%;32.74;32.26;0.47;12,842,033;32.80;31.99;32.27;35.35;19.06;;23.06;42.49b;;;1.42
bloomberg;shld;966%;72.130;71.050;690;414,702;72.440;69.650;;94.79;59.21;107.706mil;;7,768.811mil;;;-410
google-finance;shld;(0.97%);72.13;71.05;+0.69;414,172.00;72.44;69.65;;94.79;59.21;107.71m;;7.77b;;;-0.48
msn-money;shld;+0.97%;72.13;71.05;+0.69;414,172;72.44;69.65;71.44;94.79;59.21;107.71 mil;-136.09;7.69 bil;;;-0.48
nasdaq-com;shld;0.97%;$ 72.13;$ 71.05;0.69;414,172;$ 72.44;$ 69.65;$ 71.44;$ 94.7884;$ 59.21;107,706,000;;$ 7,768,833,780;;;$ -0.48
yahoo-finance;shld;0.97%;72.13;71.00;0.69;414,172;72.44;69.65;71.44;94.79;59.21;;;7.77b;;;-0.49